Emergencia: Incendio | Ubicación: CENTRO | Gravedad: ALTO | Estado: Atendida | Tiempo: 12 min
Emergencia: Robo | Ubicación: NORTE | Gravedad: MEDIO | Estado: Atendida | Tiempo: 8 min
Emergencia: Accidente Vehicular | Ubicación: SUR | Gravedad: ALTO | Estado: Atendida | Tiempo: 15 min
Emergencia: Incendio | Ubicación: ESTE | Gravedad: BAJO | Estado: Atendida | Tiempo: 6 min
Emergencia: Robo | Ubicación: OESTE | Gravedad: MEDIO | Estado: Atendida | Tiempo: 10 min
Emergencia: Accidente Vehicular | Ubicación: CENTRO | Gravedad: ALTO | Estado: Atendida | Tiempo: 18 min
Emergencia: Incendio | Ubicación: NORTE | Gravedad: MEDIO | Estado: Atendida | Tiempo: 9 min
Emergencia: Robo | Ubicación: SUR | Gravedad: BAJO | Estado: Atendida | Tiempo: 5 min
Emergencia: Incendio | Ubicación: OESTE | Gravedad: MEDIO | Estado: Atendida | Tiempo: 8 min
Emergencia: Accidente Vehicular | Ubicación: ESTE | Gravedad: ALTO | Estado: Atendida | Tiempo: 4 min
Emergencia: Incendio | Ubicación: SUR | Gravedad: MEDIO | Estado: Atendida | Tiempo: 6 min
Emergencia: Accidente Vehicular | Ubicación: NORTE | Gravedad: MEDIO | Estado: Atendida | Tiempo: 6 min
Emergencia: Robo | Ubicación: ESTE | Gravedad: ALTO | Estado: Atendida | Tiempo: 15 min
Emergencia: Incendio | Ubicación: OESTE | Gravedad: ALTO | Estado: Atendida | Tiempo: 22 min
Emergencia: Robo | Ubicación: SUR | Gravedad: ALTO | Estado: Atendida | Tiempo: 20 min
Emergencia: Accidente Vehicular | Ubicación: NORTE | Gravedad: BAJO | Estado: Atendida | Tiempo: 16 min
Emergencia: Robo | Ubicación: SUR | Gravedad: BAJO | Estado: Atendida | Tiempo: 20 min
Emergencia: Robo | Ubicación: CENTRO | Gravedad: ALTO | Estado: Atendida | Tiempo: 10 min
Emergencia: Robo | Ubicación: NORTE | Gravedad: MEDIO | Estado: Atendida | Tiempo: 13 min
